gene_name	gene_id	#TX	#CAP_exons	#CAP_bases	#GC_exons	#GC_bases	%bases_ovl	%UTR_bases_ovl	%exon_bases_ovl
GPN1	ENSG00000198522.12	12	16	1696	15	3746	0.4345969033635878	0.20801733477789816	0.653460116217644
SUPT7L	ENSG00000119760.14	5	6	1277	4	5309	0.2548502542851761	0.028725754971765282	1.0
SLC4A1AP	ENSG00000163798.12	6	15	2788	15	5207	0.48127520645285193	0.12850812407680945	0.5195721438324988
MRPL33	ENSG00000243147.6	6	8	782	7	1539	0.5347628330084471	0.6970198675496688	0.4299465240641711
RBKS	ENSG00000171174.12	5	11	1392	11	3625	0.34013793103448275	0.09815950920245399	0.960668633235005
BRE	ENSG00000158019.19	11	15	1679	13	3392	0.4829009433962264	0.15937803692905733	0.6237833262801523
FOSL2	ENSG00000075426.10	4	5	1209	6	7157	0.13720832751152717	0.004663557628247834	0.9158716392020815
PLB1	ENSG00000163803.11	12	60	6576	59	8238	0.5801165331391115	0.08615586977967774	0.8691552818934001
PPP1CB	ENSG00000213639.8	9	10	1524	9	5760	0.23072916666666668	0.04759693522173206	0.8093599449415003
SPDYA	ENSG00000163806.14	7	12	1576	11	3483	0.4257823715188056	0.1231647634584013	0.5901639344262295
TRMT61B	ENSG00000171103.9	5	8	1442	7	2056	0.752431906614786	0.3475336322869955	0.8645962732919255
WDR43	ENSG00000163811.10	6	19	2610	19	4130	0.5167070217917675	0.0026680896478121665	0.9437056737588653
FAM179A	ENSG00000189350.11	7	19	3436	18	19816	0.14705288655631812	0.003916576911779105	0.29959387691346456
C2orf71	ENSG00000179270.6	2	2	4073	4	7273	0.5388422934139969	0.01729559748427673	0.9440508184705595
CLIP4	ENSG00000115295.18	12	17	2805	17	7775	0.2992926045016077	0.00392393600965892	0.5253121452894438
ALK	ENSG00000171094.14	5	30	8109	34	6932	0.7192729371032891	0.08305199189736664	0.9374426710695285
YPEL5	ENSG00000119801.11	10	2	376	3	3421	0.10844782227418884	0.00288496213487198	0.9120603015075377
LBH	ENSG00000213626.10	9	5	367	5	4535	0.1237045203969129	0.11139455782312925	0.15252525252525254
LCLAT1	ENSG00000172954.12	12	9	1170	8	7517	0.21458028468804044	0.08150717326186348	0.9335604770017035
CAPN13	ENSG00000162949.15	7	21	2573	23	5191	0.41379310344827586	0.03444505194095134	0.6201665675193337
GALNT14	ENSG00000158089.13	15	20	2332	27	4567	0.4471206481278739	0.03415941058271936	0.647690305790501
CAPN14	ENSG00000214711.8	2	21	2651	20	4014	0.5214250124564026	0.03272910372608258	1.0
EHD3	ENSG00000013016.13	2	6	1638	6	4636	0.34792924935289044	0.0026393929396238865	1.0
XDH	ENSG00000158125.8	3	36	7731	38	6037	0.6796422063939043	0.0615748963883955	0.9197332106715731
SRD5A2	ENSG00000277893.1	1	5	851	5	4648	0.1650172117039587	0.0012866700977869274	1.0
MEMO1	ENSG00000162959.12	9	12	1438	13	5220	0.22586206896551725	0.012278978388998035	0.9834494773519163
DPY30	ENSG00000162961.12	7	14	1778	16	2745	0.5187613843351548	0.19600725952813067	0.5998176845943483
SPAST	ENSG00000021574.10	4	17	3602	17	5213	0.37483215039324763	0.06538571838256381	1.0
SLC30A6	ENSG00000152683.13	9	16	1616	14	5410	0.30942698706099814	0.13116279069767442	1.0
NLRC4	ENSG00000091106.17	4	8	3241	8	3624	0.8631346578366446	0.10144927536231885	0.9996744791666666
YIPF4	ENSG00000119820.9	4	7	768	5	12233	0.06621433826534782	0.018587033121916844	0.6799091940976163
BIRC6	ENSG00000115760.12	12	74	15252	75	17723	0.826383795068555	0.00441696113074205	0.8824663974443976
TTC27	ENSG00000018699.10	6	23	3139	23	3185	0.8813186813186813	0.2786259541984733	1.0
LTBP1	ENSG00000049323.14	12	35	5699	36	7329	0.7288852503752217	0.07751441383728379	0.9051664355062413
RASGRP3	ENSG00000152689.16	18	16	2224	18	11118	0.19400971397733405	0.01705302424726885	0.29789489625927607
FAM98A	ENSG00000119812.17	8	8	1017	7	4921	0.2932330827067669	0.35521628498727736	0.31277988287977954
CRIM1	ENSG00000150938.8	8	19	3365	21	7122	0.4535242909295142	0.026565464895635674	0.9120397428404442
FEZ2	ENSG00000171055.13	16	13	1926	13	8938	0.1687178339673305	0.12417437252311757	0.18588362068965517
VIT	ENSG00000205221.11	8	16	2562	15	3710	0.6256064690026955	0.05702647657841141	1.0
STRN	ENSG00000115808.10	3	18	2631	18	8345	0.2824445775913721	0.0025737817433081674	0.9304727850615813
HEATR5B	ENSG00000008869.10	5	36	6888	36	8206	0.7843041676821838	0.010256410256410256	0.8654726636143281
GPATCH11	ENSG00000152133.13	3	8	1138	8	4040	0.21806930693069307	0.024484536082474227	0.8600427350427351
EIF2AK2	ENSG00000055332.15	7	15	1988	15	10753	0.1577234260206454	0.0009258187709755816	0.7992424242424242
SULT6B1	ENSG00000138068.9	5	7	1092	7	1325	0.720754716981132	0.15331807780320367	1.0
CEBPZOS	ENSG00000218739.8	7	7	420	4	4700	0.06404255319148937	0.013208585580627407	0.24134705332086062
CEBPZ	ENSG00000115816.12	4	19	3563	16	3629	0.8776522457977404	0.2832699619771863	0.9784079922655494
NDUFAF7	ENSG00000003509.14	13	11	2198	9	3651	0.4538482607504793	0.26752021563342315	0.5814490078449469
PRKD3	ENSG00000115825.8	10	19	3164	19	10244	0.25819992190550567	0.002241524236480807	0.3950561797752809
QPCT	ENSG00000115828.14	6	8	1263	9	2599	0.4605617545209696	0.09215686274509804	0.6870479947403024
CDC42EP3	ENSG00000163171.7	6	1	770	3	10406	0.07399577167019028	0.0013300083125519534	0.17353677977681622
RMDN2	ENSG00000115841.18	12	15	2612	12	5999	0.4370728454742457	0.1349527665317139	0.6143236074270557
CYP1B1	ENSG00000138061.10	7	3	1939	4	6017	0.2906764168190128	0.03179852454846095	0.7785234899328859
ATL2	ENSG00000119787.12	17	18	2598	16	4885	0.44605936540429886	0.14958927799394725	0.7534992223950233
HNRNPLL	ENSG00000143889.14	12	16	2063	14	5923	0.30322471720411953	0.059781158259941285	0.7219669117647058
GALM	ENSG00000143891.15	5	10	1459	10	2790	0.46021505376344085	0.045859872611464965	0.9934426229508196
SRSF7	ENSG00000115875.17	12	11	1259	7	4045	0.17404202719406675	0.05674418604651163	0.3071240105540897
GEMIN6	ENSG00000152147.9	3	3	711	3	4361	0.15890850722311398	0.09162951956414066	1.0
DHX57	ENSG00000163214.19	11	24	4512	23	7985	0.5127113337507827	0.15	0.5832460732984294
MORN2	ENSG00000188010.11	6	7	385	3	1364	0.4934017595307918	0.36721611721611724	1.0
ARHGEF33	ENSG00000214694.9	8	18	2862	18	5490	0.5134790528233151	0.12423178226514486	0.7895392278953923
SOS1	ENSG00000115904.11	8	22	6361	24	9263	0.4585987261146497	0.020390824129141887	0.9115257958287596
CDKL4	ENSG00000205111.7	4	10	1068	8	2074	0.5337512054001928	0.31397306397306396	1.0
MAP4K3	ENSG00000011566.13	13	34	4228	35	6067	0.4544255810120323	0.006539509536784741	0.6486294896030246
TMEM178A	ENSG00000152154.9	6	4	672	7	2470	0.3639676113360324	0.24455445544554455	0.4465753424657534
THUMPD2	ENSG00000138050.13	9	12	1978	10	3823	0.3340308658121894	0.4492099322799097	0.2992849846782431
SLC8A1	ENSG00000183023.17	12	11	3116	10	21922	0.13826293221421404	0.019820474238572097	1.0
C2orf91	ENSG00000205086.6	3	3	512	4	4038	0.11193660227835563	0.014723557692307692	0.5676056338028169
PKDCC	ENSG00000162878.11	9	7	1553	5	3925	0.338343949044586	0.21875	0.43137996219281666
EML4	ENSG00000143924.17	8	24	3701	26	8357	0.38099796577719275	0.045663852647735995	0.5329507911667536
COX7A2L	ENSG00000115944.13	8	4	472	9	5605	0.10365744870651204	0.0591614014933946	0.17663683466792274
KCNG3	ENSG00000171126.7	2	2	1321	2	3824	0.34414225941422594	0.003179650238473768	1.0
MTA3	ENSG00000057935.12	19	19	2475	20	10580	0.19706994328922495	0.03938389549619809	0.34544120344890844
OXER1	ENSG00000162881.6	1	1	1277	1	1781	0.7170129140932061	0.015625	1.0
HAAO	ENSG00000162882.13	7	11	1071	7	2726	0.2516507703595011	0.1609907120743034	0.2798076923076923
ZFP36L2	ENSG00000152518.6	2	2	1663	2	3696	0.4264069264069264	0.04245709123757904	1.0
THADA	ENSG00000115970.17	19	37	6266	44	14220	0.43544303797468353	0.08569366768897708	0.6588682724443933
PLEKHH2	ENSG00000152527.12	8	30	5414	30	9835	0.46090493136756483	0.033677765021048606	0.6154804763223484
DYNC2LI1	ENSG00000138036.17	10	16	2142	15	4618	0.2810740580337809	0.11145510835913312	0.30866062437059416
ABCG5	ENSG00000138075.10	4	12	2883	11	3720	0.5287634408602151	0.21482683982683984	0.8386752136752137
ABCG8	ENSG00000143921.6	1	11	3326	13	2665	0.797373358348968	0.16408668730650156	1.0
LRPPRC	ENSG00000138095.17	9	38	8001	39	9760	0.474077868852459	0.14642201834862387	0.6009950248756218
PPM1B	ENSG00000138032.19	11	9	1767	8	7103	0.20512459524144727	0.01853780462403666	0.5942658557775847
SLC3A1	ENSG00000138079.12	10	13	3416	11	6541	0.38021709218773886	0.07172995780590717	0.6944792973651192
PREPL	ENSG00000138078.14	16	16	2470	16	8153	0.29056788912056913	0.0275	0.9012925969447708
CAMKMT	ENSG00000143919.13	10	14	1990	17	3993	0.30478337089907337	0.0655668358714044	0.6519337016574586
SIX3	ENSG00000138083.4	1	2	1205	2	2523	0.4367816091954023	0.06941715782580223	1.0
SIX2	ENSG00000170577.7	1	2	1082	2	2205	0.4439909297052154	0.07957957957957958	1.0
SRBD1	ENSG00000068784.11	5	20	3320	25	5045	0.5928642220019822	0.008620689655172414	0.6863646815359853
PRKCE	ENSG00000171132.12	15	16	2522	33	9908	0.2349616471538151	0.008234439331557278	0.39695449039626235
EPAS1	ENSG00000116016.12	10	16	4267	19	7302	0.40358805806628323	0.041884816753926704	0.6125756266205704
TMEM247	ENSG00000187600.11	5	3	665	9	1682	0.39179548156956007		0.39179548156956007
ATP6V1E2	ENSG00000250565.5	6	1	686	6	5283	0.12985046375165626	0.0041797283176593526	0.201246660730187
RHOQ	ENSG00000119729.9	9	8	852	8	4619	0.19528036371508983	0.07823669579030977	0.33555449785816277
PIGF	ENSG00000151665.11	7	8	438	5	4978	0.13700281237444756	0.15555555555555556	0.15113583681038478
CRIPT	ENSG00000119878.5	2	5	573	6	2561	0.16673174541194846	0.07515151515151515	0.33260153677277715
SOCS5	ENSG00000171150.7	2	1	1616	1	5034	0.3210170838299563	0.002335084646818447	1.0
MCFD2	ENSG00000180398.10	17	5	851	4	5994	0.14314314314314314	0.05225556235966524	0.5497716894977169
TTC7A	ENSG00000068724.14	12	24	3042	25	6949	0.42337026910346814	0.10098891219658376	0.7212070874861573
C2orf61	ENSG00000239605.7	6	7	899	12	3273	0.2413687748243202	0.028309741881765195	0.36486486486486486
RP11-761B3.1	ENSG00000273269.1	1	7	303	3	983	0.6561546286876907	0.6046783625730994	1.0
CALM2	ENSG00000143933.15	9	8	933	6	6466	0.12310547479121559	0.16233766233766234	0.1165644171779141
EPCAM	ENSG00000119888.9	6	10	2049	8	2519	0.3739579198094482	0.18653846153846154	0.6965174129353234
MSH2	ENSG00000095002.11	11	17	4313	18	4552	0.6678383128295254	0.20385126162018594	0.8912439193884643
KCNK12	ENSG00000184261.4	2	2	1318	3	6685	0.19476439790575917	0.0024306258861656878	0.7379862700228833
MSH6	ENSG00000116062.13	15	13	4924	13	10993	0.3876102974620213	0.03721754541426672	0.6317332921747183
FBXO11	ENSG00000138081.18	11	25	3276	24	7074	0.43030817076618605	0.09606432501057977	0.6141316310807836
FOXN2	ENSG00000170802.14	3	5	1492	5	5481	0.237365444261996	0.062149427866277765	1.0
PPP1R21	ENSG00000162869.14	9	24	3300	22	3995	0.6362953692115144	0.11264367816091954	0.8903345724907064
STON1	ENSG00000243244.4	4	5	2304	4	7709	0.3490725126475548	0.06590656284760846	0.64792543595911
STON1-GTF2A1L	ENSG00000068781.19	7	12	3830	12	4302	0.8679683867968386	0.27927927927927926	0.9551641313050441
GTF2A1L	ENSG00000242441.6	7	10	1788	11	2054	0.7896786757546251	0.2781316348195329	0.9418825015792799
RP11-310N16.1	ENSG00000279956.1	1	9	1600	8	2103	0.5130765572990965	0.3076402974983097	1.0
LHCGR	ENSG00000138039.13	6	11	3319	12	4999	0.47029405881176234	0.274662064998562	0.9172141918528253
FSHR	ENSG00000170820.10	5	11	3219	12	3170	0.7201892744479496	0.1336405529953917	0.9413553431798436
NRXN1	ENSG00000179915.19	32	30	6803	38	18156	0.3064551663361974	0.05511677282377919	0.7702554458548817
GPR75-ASB3	ENSG00000115239.20	17	11	1831	23	6734	0.26403326403326405	0.011439114391143911	0.45369406867845996
CHAC2	ENSG00000143942.4	1	3	690	3	1321	0.4239212717638153	0.010403120936280884	1.0
ERLEC1	ENSG00000068912.12	4	14	2027	15	2592	0.5667438271604939	0.02032520325203252	0.9217557251908397
GPR75	ENSG00000119737.5	1	2	1628	1	2115	0.8174940898345153	0.2202020202020202	1.0
PSME4	ENSG00000068878.13	9	46	6682	48	10241	0.5473098330241187	0.11398354876615746	0.6336807588710622
ACYP2	ENSG00000170634.11	9	7	655	13	4964	0.11442385173247381	0.08967173738991192	0.19063270336894
TSPYL6	ENSG00000178021.10	1	1	1238	1	3089	0.4007769504694076	0.004303388918773534	1.0
C2orf73	ENSG00000177994.14	8	7	638	5	2716	0.4061119293078056	0.3065963060686016	0.6358099878197321
SPTBN1	ENSG00000115306.14	7	36	7671	39	18504	0.39618460873324685	0.0027505587072374077	0.5765744462835973
EML6	ENSG00000214595.10	9	41	6152	42	14426	0.3980313323166505	0.02125919869174162	0.47399230640575346
RTN4	ENSG00000115310.16	15	11	4035	12	6644	0.5651715833835039	0.039473684210526314	0.8261261261261261
CLHC1	ENSG00000162994.14	13	11	1757	13	4399	0.4014548761082064	0.09246729815065403	0.7104895104895105
RPS27A	ENSG00000143947.11	10	5	1013	3	3130	0.16102236421725238	0.13325991189427314	0.17236723672367238
MTIF2	ENSG00000085760.13	12	13	2299	13	3374	0.6487848251333729	0.00919732441471572	1.0
CCDC88A	ENSG00000115355.14	14	32	6727	33	14537	0.4258100020636995	0.020423744989501814	0.6542267154226715
CFAP36	ENSG00000163001.10	7	12	1567	12	3505	0.3432239657631954	0.03502155172413793	0.6901152213462705
SMEK2	ENSG00000275052.3	6	17	2960	19	8217	0.328708774491907	0.02304303625889529	0.48614363778298203
PNPT1	ENSG00000138035.13	7	28	3336	25	5134	0.43689131281651733	0.072686230248307	0.7132579650565262
EFEMP1	ENSG00000115380.17	12	9	2309	10	3962	0.4215042907622413	0.05620360551431601	0.904551201011378
CCDC85A	ENSG00000055813.5	1	6	1755	6	3982	0.41913611250627825	0.004304778303917348	1.0
VRK2	ENSG00000028116.15	9	16	1869	16	3509	0.4873183243089199	0.2857815442561205	0.7963898916967509
FANCL	ENSG00000115392.10	10	15	2614	14	2412	0.664179104477612	0.587360594795539	0.7233644859813084
BCL11A	ENSG00000119866.19	10	6	3058	11	8059	0.3471894776026802	0.03254016676835469	0.8395926161680458
PAPOLG	ENSG00000115421.11	7	23	2922	19	8501	0.2643218444888837	0.046992481203007516	0.6277900031436655
REL	ENSG00000162924.12	2	10	2254	11	11255	0.17485561972456687	0.011811023622047244	1.0
PUS10	ENSG00000162927.12	6	19	2542	17	7651	0.21683440073193047	0.08037578288100208	0.37738214643931794
PEX13	ENSG00000162928.8	5	5	1726	5	5910	0.24331641285956007	0.03620689655172414	1.0
KIAA1841	ENSG00000162929.12	11	21	2537	23	7992	0.29316816816816815	0.06524249422632794	0.46753533568904593
C2orf74	ENSG00000237651.5	6	6	754	5	1515	0.5174917491749175	0.20246085011185683	0.9710144927536232
AHSA2	ENSG00000173209.21	11	13	814	4	8382	0.06800286327845383	0.041281479120178516	0.14990512333965844
USP34	ENSG00000115464.13	22	80	12750	77	18125	0.5808551724137931	0.03911735205616851	0.6123890705277908
XPO1	ENSG00000082898.15	24	24	3604	19	11708	0.24632729757430816	0.04912361623616236	0.3702522872192958
FAM161A	ENSG00000170264.11	7	9	2749	8	5252	0.7943640517897944	0.8621145374449339	0.7427900737759893
CCT4	ENSG00000115484.13	4	14	2039	15	2830	0.588339222614841	0.053156146179401995	0.8391281785158277
COMMD1	ENSG00000173163.9	8	5	1098	6	2392	0.3741638795986622	0.07826694619147449	0.8147762747138397
AC107081.1	ENSG00000280544.1	1	0	0	4	129	0.0		0.0
B3GNT2	ENSG00000170340.10	2	1	1199	1	2861	0.4190842362810206	0.004790419161676647	1.0
TMEM17	ENSG00000186889.8	3	5	653	4	2982	0.18544600938967137	0.006650041562759767	0.26503871351995234
EHBP1	ENSG00000115504.13	20	25	4331	29	8219	0.4619783428640954	0.030271398747390398	0.5932095827383785
OTX1	ENSG00000115507.8	6	3	423	3	4833	0.25615559693771983	0.32200886262924666	0.2136602451838879
WDPCP	ENSG00000143951.14	17	23	4354	26	11776	0.24541440217391305	0.10527732902530965	0.3177871495906723
MDH1	ENSG00000014641.16	16	11	1200	10	4990	0.24088176352705412	0.1226790450928382	0.29207352096496264
AC016734.1	ENSG00000281071.1	1	0	0	3	45	0.0		0.0
UGP2	ENSG00000169764.13	31	17	2119	12	6495	0.29484218629715164	0.1973404255319149	0.3345612134344529
VPS54	ENSG00000143952.18	4	24	3784	23	5091	0.5880966411314084	0.0628390596745027	0.9916637721431052
PELI1	ENSG00000197329.10	4	6	1366	9	4125	0.3090909090909091	0.008413461538461538	0.7697974217311234
LGALSL	ENSG00000119862.11	5	5	574	4	4003	0.15838121408943293	0.06624168514412417	1.0
AFTPH	ENSG00000119844.13	7	9	3045	8	5767	0.47771805097971215	0.09312022237665045	0.4813126709206928
AC008074.1	ENSG00000279644.1	1	9	2508	5	1622	0.9327990135635018	0.9209225700164745	0.9681372549019608
SERTAD2	ENSG00000179833.4	3	1	950	2	6274	0.15141855275741153	0.0017364879531148252	0.5650869826034793
SLC1A4	ENSG00000115902.9	5	8	1725	10	6939	0.2353365038189941	0.002583979328165375	0.42284673432214415
CEP68	ENSG00000011523.12	5	5	2592	6	8623	0.2990838455293981	0.002385082393755421	0.6402393418100224
RAB1A	ENSG00000138069.15	5	6	738	7	2951	0.2229752626228397	0.023471615720524017	0.5495978552278821
ACTR2	ENSG00000138071.12	5	10	1633	11	4347	0.3066482631700023	0.031186440677966103	0.8883321403006442
SPRED2	ENSG00000198369.8	8	10	1691	10	5154	0.3119906868451688	0.037720033528918694	0.9345314505776636
MEIS1	ENSG00000143995.18	17	16	2444	22	10934	0.16078287909273825	0.028509660856640993	0.43787149731106706
ETAA1	ENSG00000143971.7	2	6	3062	6	3486	0.8341939185312679	0.1984375	0.9771609276177091
C1D	ENSG00000197223.10	7	5	778	5	3581	0.1482826026249651	0.05544651619234544	0.27090084251458196
WDR92	ENSG00000243667.5	6	9	1688	10	4079	0.3307183133120863	0.10315339390700161	0.5235507246376812
HZGJ	ENSG00000273398.4	2	15	1368	6	3395	0.6801178203240059	0.5478767693588676	1.0
PNO1	ENSG00000115946.6	3	8	1132	8	2674	0.35789080029917725	0.08297480024585126	0.7851002865329513
PPP3R1	ENSG00000221823.9	3	7	945	7	3363	0.19863217365447516	0.03508771929824561	1.0
CNRIP1	ENSG00000119865.7	4	4	510	4	3548	0.18771138669673054	0.013560500695410291	0.9087221095334685
PLEK	ENSG00000115956.9	2	9	1194	9	3314	0.3283041641520821	0.019241341396371632	0.7043478260869566
FBXO48	ENSG00000204923.3	1	2	478	2	5666	0.08348040945993647	0.0015381657373582003	1.0
APLF	ENSG00000169621.8	7	14	3072	21	7135	0.4133146461107218	0.11386522075910147	0.5081627364602228
PROKR1	ENSG00000169618.6	1	2	1388	2	4273	0.30072548560730167	0.03425985778926956	1.0
ARHGAP25	ENSG00000163219.10	17	13	2560	15	5452	0.4556126192223037	0.01813356921716055	0.7655907239109997
BMP10	ENSG00000163217.1	1	2	1285	2	1584	0.8080808080808081	0.02564102564102564	1.0
GKN2	ENSG00000183607.8	2	6	636	5	1653	0.27828191167574107	0.12393162393162394	1.0
GKN1	ENSG00000169605.5	2	6	715	6	1149	0.5474325500435161	0.1382488479262673	0.6427038626609443
ANTXR1	ENSG00000169604.18	7	21	3937	21	8185	0.2659743433109346	0.024189114898295765	0.749633431085044
GFPT1	ENSG00000198380.11	4	20	4179	21	8866	0.2501691856530566	0.018316681804420223	0.9278761061946903
NFU1	ENSG00000169599.11	10	10	1550	8	2197	0.6103777878925808	0.42123056118999325	1.0
AAK1	ENSG00000115977.17	13	23	4362	25	23608	0.1396984073195527	0.009688077504620037	0.7285689445313859
ANXA4	ENSG00000196975.13	11	12	1309	16	9946	0.08727126483008245	0.0575	0.09162844036697247
GMCL1	ENSG00000087338.4	4	14	1967	15	4922	0.31674116212921577	0.0030234315948601664	0.6814586994727593
SNRNP27	ENSG00000124380.9	5	6	779	6	2275	0.3046153846153846	0.12742718446601942	0.7703349282296651
MXD1	ENSG00000059728.9	6	9	835	5	6351	0.1387183120768383	0.08882733148661126	0.42735042735042733
AC019206.1	ENSG00000279229.1	1	0	0	2	192	0.0		0.0
ASPRV1	ENSG00000244617.2	1	1	1037	1	2177	0.4763435920992191	0.006968641114982578	1.0
PCBP1	ENSG00000169564.6	1	1	1076	1	1750	0.6148571428571429	0.011730205278592375	1.0
C2orf42	ENSG00000115998.6	14	9	1908	10	3630	0.5151515151515151	0.006662628709872804	0.901880621422731
TIA1	ENSG00000116001.14	20	15	1982	15	6607	0.26532465566823066	0.04293785310734463	0.5220084773394196
PCYOX1	ENSG00000116005.10	6	6	1600	6	5870	0.26422487223168656	0.0850355239786856	0.8550512445095169
SNRPG	ENSG00000143977.12	9	6	441	5	1795	0.27910863509749306	0.16840417000801924	0.5291970802919708
FAM136A	ENSG00000035141.6	6	3	754	2	3086	0.2423849643551523	0.13788819875776398	0.14645103324348607
TGFA	ENSG00000163235.14	9	9	1021	10	4963	0.1444690711263349	0.040725047080979286	0.7678321678321678
ADD2	ENSG00000075340.21	14	16	2494	18	12673	0.194981456640101	0.031183213522440256	0.9037410676754939
FIGLA	ENSG00000183733.6	1	5	835	5	722	0.9930747922437673	0.9230769230769231	1.0
CLEC4F	ENSG00000152672.6	2	8	1846	7	2475	0.7519191919191919	0.2867231638418079	1.0
CD207	ENSG00000116031.8	1	6	1115	6	1869	0.5468164794007491	0.04293785310734463	1.0
VAX2	ENSG00000116035.2	1	3	888	3	1147	0.7654751525719268	0.02888086642599278	1.0
ATP6V1B1	ENSG00000116039.10	8	13	3103	13	2653	0.7327553712777988	0.39322533136966126	0.8490374873353597
AC007040.11	ENSG00000258881.5	2	5	651	7	4451	0.11008762075937992	0.00388903292714545	0.7996632996632996
ANKRD53	ENSG00000144031.10	7	7	1099	6	2528	0.6863132911392406	0.6041486603284356	0.7556528081692195
TEX261	ENSG00000144043.10	6	6	651	4	4260	0.14413145539906103	0.045178691840863115	0.37094281298299847
NAGK	ENSG00000124357.11	29	11	992	6	8894	0.08005396896784349	0.16278026905829596	0.06239486159963297
MCEE	ENSG00000124370.9	5	3	697	6	1624	0.40332512315270935	0.20566502463054187	0.6009852216748769
MPHOSPH10	ENSG00000124383.7	5	11	2303	11	4674	0.4244758237056055	0.012855831037649219	0.5495118549511855
PAIP2B	ENSG00000124374.8	1	3	420	3	6279	0.06290810638636725	0.004399323181049069	1.0
ZNF638	ENSG00000075292.17	27	32	7564	32	12474	0.5548340548340548	0.23163313055685542	0.6298072120667266
DYSF	ENSG00000135636.12	19	57	12372	62	8386	0.8151681373718102	0.15494978479196556	0.8750162569905059
CYP26B1	ENSG00000003137.7	5	6	2259	6	5015	0.357926221335992	0.03187011425135298	1.0
EXOC6B	ENSG00000144036.13	8	22	3026	26	10185	0.24604810996563573	0.0014072614691809737	0.8106528093536862
SPR	ENSG00000116096.5	2	3	1095	3	1480	0.6006756756756757	0.15208034433285508	1.0
EMX1	ENSG00000135638.12	6	5	1328	6	5516	0.271211022480058	0.08457446808510638	0.3580669710806697
SFXN5	ENSG00000144040.11	22	17	2300	28	11087	0.11977992243167673	0.023906888958792075	0.15832068791097623
RAB11FIP5	ENSG00000135631.14	6	5	2496	9	5932	0.4177343223196224	0.1351237935375577	0.6074950690335306
NOTO	ENSG00000214513.3	1	3	762	3	2749	0.2757366315023645	0.00250501002004008	1.0
SMYD5	ENSG00000135632.10	9	15	1673	14	3380	0.3878698224852071	0.0338420703384207	0.6727175654030967
PRADC1	ENSG00000135617.3	3	5	538	5	1407	0.4193319118692253	0.04431599229287091	0.6090133982947625
CCT7	ENSG00000135624.14	17	12	1772	15	3591	0.4903926482873851	0.14460784313725492	0.5347156770342444
FBXO41	ENSG00000163013.10	5	12	2919	15	8011	0.34202970914991887	0.02436956982411528	0.7973876063183475
EGR4	ENSG00000135625.7	2	2	1786	2	2377	0.7492637778712663	0.3514689880304679	1.0
ALMS1	ENSG00000116127.16	8	23	14899	25	14054	0.9056496371139889	0.2517814726840855	0.9258417076212132
NAT8	ENSG00000144035.3	1	1	689	1	947	0.7275607180570222	0.03007518796992481	1.0
TPRKB	ENSG00000144034.13	10	5	801	6	2047	0.3331704934049829	0.05063291139240506	0.3701657458563536
DUSP11	ENSG00000144048.9	5	11	1718	12	3544	0.3947516930022573	0.02913085004775549	0.9227586206896552
C2orf78	ENSG00000187833.7	1	3	2837	3	3045	0.9300492610837439	0.23655913978494625	1.0
STAMBP	ENSG00000124356.14	11	9	1429	12	7698	0.1723824369966225	0.0048234280792420325	0.6862123613312203
ACTG2	ENSG00000163017.12	9	10	1176	7	3811	0.29834689057990027	0.08534531162268388	0.4439701173959445
DGUOK	ENSG00000114956.18	8	8	1526	7	1455	0.7292096219931271	0.3857566765578635	0.832737030411449
TET3	ENSG00000187605.14	4	11	5329	13	12271	0.42213348545350826	0.01120632827949901	0.8241173625665
BOLA3	ENSG00000163170.10	5	4	867	3	3156	0.14068441064638784	0.5566037735849056	0.11205073995771671
MOB1A	ENSG00000114978.16	6	6	796	7	6440	0.12546583850931678	0.02784989379277791	0.30881681132937416
MTHFD2	ENSG00000065911.10	8	8	935	8	4870	0.21806981519507188	0.04737874964956546	0.6853415195702226
RP11-287D1.3	ENSG00000264324.1	1	32	1441	5	5059	0.8345522830598933	0.8134195274186358	1.0
SLC4A5	ENSG00000188687.14	13	26	4099	27	8025	0.43202492211838006	0.010798522307473715	0.7609853528628495
DCTN1	ENSG00000204843.11	26	32	6823	25	10439	0.43883513746527447	0.37613293051359514	0.46014632268001543
C2orf81	ENSG00000159239.10	6	4	1805	3	2995	0.5896494156928214	0.061115355233002294	1.0
WDR54	ENSG00000005448.15	13	10	1398	5	2860	0.21923076923076923	0.7172774869109948	0.16755725190839696
RTKN	ENSG00000114993.14	10	14	1872	13	5005	0.3518481518481518	0.024844720496894408	0.41948579161028415
INO80B	ENSG00000115274.13	9	5	1287	4	1522	0.6176084099868594	0.6806883365200764	0.584
INO80B-WBP1	ENSG00000274049.3	2	8	1395	6	2040	0.8980392156862745	0.7812828601472135	1.0
WBP1	ENSG00000239779.5	14	5	1003	2	2438	0.11484823625922888	0.15100671140939598	0.25267538644470866
MOGS	ENSG00000115275.10	9	4	2926	4	3234	0.8410636982065554	0.8698501872659176	0.7781954887218046
MRPL53	ENSG00000204822.6	4	3	358	2	1344	0.17485119047619047	0.027413587604290822	0.4198019801980198
CCDC142	ENSG00000135637.12	9	14	1356	5	4897	0.22401470287931385	0.20056657223796034	0.42587292501431023
TTC31	ENSG00000115282.18	13	14	1151	5	5094	0.12053396152336082	0.11633333333333333	0.19736842105263158
LBX2	ENSG00000179528.14	6	3	812	5	2389	0.3336123901213897	0.19364833462432224	0.4981785063752277
